Archivo,Tipo,Parametros,Descripcion
RECT_562_903.7x876.5.dxf,Rectangulo,"Ancho=903.68, Largo=876.49",Rectángulo de 903.7mm x 876.5mm
RECT_562_903.7x876.5_4holes.dxf,Rectangulo con agujeros,"Ancho=903.68, Largo=876.49, Agujeros=4, Diametros=[13.42, 12.50, 6.28, 7.82]",Rectángulo 903.7x876.5mm con 4 agujeros (distribución cuadricula)
RECT_563_361.0x1174.7.dxf,Rectangulo,"Ancho=361.03, Largo=1174.69",Rectángulo de 361.0mm x 1174.7mm
RECT_563_361.0x1174.7_8holes.dxf,Rectangulo con agujeros,"Ancho=361.03, Largo=1174.69, Agujeros=8, Diametros=[12.09, 5.55, 9.94, 8.16, 6.37, 5.79, 4.03, 11.55]",Rectángulo 361.0x1174.7mm con 8 agujeros (distribución cuadricula)
WASH_564_D1362.8-573.6.dxf,Arandela,"D_exterior=1362.81, D_interior=573.61",Arandela Ø1362.8mm / Ø573.6mm
WASH_564_D1362.8-573.6_8holes.dxf,Arandela con agujeros,"D_exterior=1362.81, D_interior=573.61, Agujeros=8, D_agujero=12.92",Arandela Ø1362.8/Ø573.6mm con 8 agujeros de Ø12.9mm (circular)
RECT_565_2029.1x797.6.dxf,Rectangulo,"Ancho=2029.05, Largo=797.59",Rectángulo de 2029.1mm x 797.6mm
RECT_565_2029.1x797.6_1holes.dxf,Rectangulo con agujeros,"Ancho=2029.05, Largo=797.59, Agujeros=1, Diametros=[11.86]",Rectángulo 2029.1x797.6mm con 1 agujeros (distribución aleatoria)
RECT_566_2516.5x906.8.dxf,Rectangulo,"Ancho=2516.45, Largo=906.83",Rectángulo de 2516.5mm x 906.8mm
RECT_566_2516.5x906.8_1holes.dxf,Rectangulo con agujeros,"Ancho=2516.45, Largo=906.83, Agujeros=1, Diametros=[9.40]",Rectángulo 2516.5x906.8mm con 1 agujeros (distribución aleatoria)
WASH_567_D1047.2-468.7.dxf,Arandela,"D_exterior=1047.24, D_interior=468.69",Arandela Ø1047.2mm / Ø468.7mm
WASH_567_D1047.2-468.7_21holes.dxf,Arandela con agujeros,"D_exterior=1047.24, D_interior=468.69, Agujeros=21, D_agujero=5.32",Arandela Ø1047.2/Ø468.7mm con 21 agujeros de Ø5.3mm (circular)
WASH_568_D898.5-349.8.dxf,Arandela,"D_exterior=898.49, D_interior=349.84",Arandela Ø898.5mm / Ø349.8mm
WASH_568_D898.5-349.8_49holes.dxf,Arandela con agujeros,"D_exterior=898.49, D_interior=349.84, Agujeros=49, D_agujero=14.53",Arandela Ø898.5/Ø349.8mm con 49 agujeros de Ø14.5mm (circular)
WASH_569_D1305.4-755.9.dxf,Arandela,"D_exterior=1305.39, D_interior=755.88",Arandela Ø1305.4mm / Ø755.9mm
WASH_569_D1305.4-755.9_18holes.dxf,Arandela con agujeros,"D_exterior=1305.39, D_interior=755.88, Agujeros=18, D_agujero=9.28",Arandela Ø1305.4/Ø755.9mm con 18 agujeros de Ø9.3mm (circular)
RECT_570_1740.1x67.2.dxf,Rectangulo,"Ancho=1740.11, Largo=67.23",Rectángulo de 1740.1mm x 67.2mm
RECT_570_1740.1x67.2_8holes.dxf,Rectangulo con agujeros,"Ancho=1740.11, Largo=67.23, Agujeros=8, Diametros=[5.60, 5.25, 7.82, 6.58, 4.07, 12.63, 11.36, 14.75]",Rectángulo 1740.1x67.2mm con 8 agujeros (distribución circular)
WASH_571_D655.7-485.6.dxf,Arandela,"D_exterior=655.67, D_interior=485.59",Arandela Ø655.7mm / Ø485.6mm
WASH_571_D655.7-485.6_29holes.dxf,Arandela con agujeros,"D_exterior=655.67, D_interior=485.59, Agujeros=29, D_agujero=4.01",Arandela Ø655.7/Ø485.6mm con 29 agujeros de Ø4.0mm (circular)
RECT_572_1208.2x623.7.dxf,Rectangulo,"Ancho=1208.22, Largo=623.67",Rectángulo de 1208.2mm x 623.7mm
RECT_572_1208.2x623.7_1holes.dxf,Rectangulo con agujeros,"Ancho=1208.22, Largo=623.67, Agujeros=1, Diametros=[14.97]",Rectángulo 1208.2x623.7mm con 1 agujeros (distribución cuadricula)
RECT_573_1241.9x974.1.dxf,Rectangulo,"Ancho=1241.91, Largo=974.10",Rectángulo de 1241.9mm x 974.1mm
RECT_573_1241.9x974.1_4holes.dxf,Rectangulo con agujeros,"Ancho=1241.91, Largo=974.10, Agujeros=4, Diametros=[12.24, 4.07, 6.34, 14.51]",Rectángulo 1241.9x974.1mm con 4 agujeros (distribución aleatoria)
WASH_574_D1177.7-909.6.dxf,Arandela,"D_exterior=1177.69, D_interior=909.58",Arandela Ø1177.7mm / Ø909.6mm
WASH_574_D1177.7-909.6_34holes.dxf,Arandela con agujeros,"D_exterior=1177.69, D_interior=909.58, Agujeros=34, D_agujero=11.12",Arandela Ø1177.7/Ø909.6mm con 34 agujeros de Ø11.1mm (circular)
WASH_575_D875.1-589.7.dxf,Arandela,"D_exterior=875.07, D_interior=589.73",Arandela Ø875.1mm / Ø589.7mm
WASH_575_D875.1-589.7_33holes.dxf,Arandela con agujeros,"D_exterior=875.07, D_interior=589.73, Agujeros=33, D_agujero=9.94",Arandela Ø875.1/Ø589.7mm con 33 agujeros de Ø9.9mm (circular)
WASH_576_D1306.0-977.5.dxf,Arandela,"D_exterior=1305.97, D_interior=977.54",Arandela Ø1306.0mm / Ø977.5mm
WASH_576_D1306.0-977.5_21holes.dxf,Arandela con agujeros,"D_exterior=1305.97, D_interior=977.54, Agujeros=21, D_agujero=11.01",Arandela Ø1306.0/Ø977.5mm con 21 agujeros de Ø11.0mm (circular)
RECT_577_893.5x452.4.dxf,Rectangulo,"Ancho=893.51, Largo=452.38",Rectángulo de 893.5mm x 452.4mm
RECT_577_893.5x452.4_4holes.dxf,Rectangulo con agujeros,"Ancho=893.51, Largo=452.38, Agujeros=4, Diametros=[9.52, 12.28, 6.24, 9.63]",Rectángulo 893.5x452.4mm con 4 agujeros (distribución aleatoria)
RECT_578_2707.1x828.4.dxf,Rectangulo,"Ancho=2707.09, Largo=828.40",Rectángulo de 2707.1mm x 828.4mm
RECT_578_2707.1x828.4_1holes.dxf,Rectangulo con agujeros,"Ancho=2707.09, Largo=828.40, Agujeros=1, Diametros=[9.17]",Rectángulo 2707.1x828.4mm con 1 agujeros (distribución aleatoria)
WASH_579_D504.7-289.4.dxf,Arandela,"D_exterior=504.67, D_interior=289.42",Arandela Ø504.7mm / Ø289.4mm
WASH_579_D504.7-289.4_35holes.dxf,Arandela con agujeros,"D_exterior=504.67, D_interior=289.42, Agujeros=35, D_agujero=5.64",Arandela Ø504.7/Ø289.4mm con 35 agujeros de Ø5.6mm (circular)
RECT_580_520.8x345.5.dxf,Rectangulo,"Ancho=520.83, Largo=345.48",Rectángulo de 520.8mm x 345.5mm
RECT_580_520.8x345.5_32holes.dxf,Rectangulo con agujeros,"Ancho=520.83, Largo=345.48, Agujeros=32, Diametros=[6.34, 13.97, 8.24, 7.05, 14.64, 11.32, 14.41, 4.23, 8.29, 11.87, 4.75, 4.68, 10.43, 4.04, 13.64, 11.57, 6.31, 4.53, 11.69, 8.21, 11.20, 13.10, 6.52, 13.53, 14.86, 6.74, 6.36, 7.31, 12.79, 4.83, 5.21, 5.58]",Rectángulo 520.8x345.5mm con 32 agujeros (distribución cuadricula)
WASH_581_D1022.3-527.1.dxf,Arandela,"D_exterior=1022.34, D_interior=527.09",Arandela Ø1022.3mm / Ø527.1mm
WASH_581_D1022.3-527.1_33holes.dxf,Arandela con agujeros,"D_exterior=1022.34, D_interior=527.09, Agujeros=33, D_agujero=12.26",Arandela Ø1022.3/Ø527.1mm con 33 agujeros de Ø12.3mm (circular)
WASH_582_D1210.4-695.9.dxf,Arandela,"D_exterior=1210.35, D_interior=695.87",Arandela Ø1210.4mm / Ø695.9mm
WASH_582_D1210.4-695.9_23holes.dxf,Arandela con agujeros,"D_exterior=1210.35, D_interior=695.87, Agujeros=23, D_agujero=13.50",Arandela Ø1210.4/Ø695.9mm con 23 agujeros de Ø13.5mm (circular)
WASH_583_D664.8-395.7.dxf,Arandela,"D_exterior=664.82, D_interior=395.72",Arandela Ø664.8mm / Ø395.7mm
WASH_583_D664.8-395.7_29holes.dxf,Arandela con agujeros,"D_exterior=664.82, D_interior=395.72, Agujeros=29, D_agujero=12.89",Arandela Ø664.8/Ø395.7mm con 29 agujeros de Ø12.9mm (circular)
WASH_584_D841.5-359.7.dxf,Arandela,"D_exterior=841.51, D_interior=359.69",Arandela Ø841.5mm / Ø359.7mm
WASH_584_D841.5-359.7_40holes.dxf,Arandela con agujeros,"D_exterior=841.51, D_interior=359.69, Agujeros=40, D_agujero=10.39",Arandela Ø841.5/Ø359.7mm con 40 agujeros de Ø10.4mm (circular)
RECT_585_773.6x62.7.dxf,Rectangulo,"Ancho=773.59, Largo=62.70",Rectángulo de 773.6mm x 62.7mm
RECT_585_773.6x62.7_32holes.dxf,Rectangulo con agujeros,"Ancho=773.59, Largo=62.70, Agujeros=32, Diametros=[5.15, 10.47, 10.43, 5.89, 4.63, 5.94, 13.08, 8.05, 13.97, 8.58, 10.74, 6.76, 14.66, 8.30, 7.13, 10.24, 6.46, 12.83, 10.29, 10.33, 4.10, 8.75, 8.78, 7.40, 11.04, 9.30, 11.57, 8.48, 13.99, 10.60, 11.27, 10.49]",Rectángulo 773.6x62.7mm con 32 agujeros (distribución aleatoria)
RECT_586_1015.0x1448.2.dxf,Rectangulo,"Ancho=1014.99, Largo=1448.25",Rectángulo de 1015.0mm x 1448.2mm
RECT_586_1015.0x1448.2_8holes.dxf,Rectangulo con agujeros,"Ancho=1014.99, Largo=1448.25, Agujeros=8, Diametros=[10.51, 13.11, 12.63, 7.83, 7.64, 12.60, 8.81, 10.58]",Rectángulo 1015.0x1448.2mm con 8 agujeros (distribución cuadricula)
WASH_587_D1159.1-866.2.dxf,Arandela,"D_exterior=1159.12, D_interior=866.15",Arandela Ø1159.1mm / Ø866.2mm
WASH_587_D1159.1-866.2_19holes.dxf,Arandela con agujeros,"D_exterior=1159.12, D_interior=866.15, Agujeros=19, D_agujero=13.63",Arandela Ø1159.1/Ø866.2mm con 19 agujeros de Ø13.6mm (circular)
RECT_588_2459.7x115.0.dxf,Rectangulo,"Ancho=2459.73, Largo=115.02",Rectángulo de 2459.7mm x 115.0mm
RECT_588_2459.7x115.0_2holes.dxf,Rectangulo con agujeros,"Ancho=2459.73, Largo=115.02, Agujeros=2, Diametros=[8.10, 10.12]",Rectángulo 2459.7x115.0mm con 2 agujeros (distribución aleatoria)
WASH_589_D683.7-424.7.dxf,Arandela,"D_exterior=683.68, D_interior=424.70",Arandela Ø683.7mm / Ø424.7mm
WASH_589_D683.7-424.7_39holes.dxf,Arandela con agujeros,"D_exterior=683.68, D_interior=424.70, Agujeros=39, D_agujero=14.91",Arandela Ø683.7/Ø424.7mm con 39 agujeros de Ø14.9mm (circular)
RECT_590_1662.4x184.2.dxf,Rectangulo,"Ancho=1662.38, Largo=184.17",Rectángulo de 1662.4mm x 184.2mm
RECT_590_1662.4x184.2_16holes.dxf,Rectangulo con agujeros,"Ancho=1662.38, Largo=184.17, Agujeros=16, Diametros=[11.48, 12.92, 13.82, 12.55, 11.48, 12.66, 10.89, 9.26, 4.44, 9.79, 12.82, 14.13, 14.14, 7.94, 5.49, 12.95]",Rectángulo 1662.4x184.2mm con 16 agujeros (distribución aleatoria)
RECT_591_2590.1x183.9.dxf,Rectangulo,"Ancho=2590.12, Largo=183.86",Rectángulo de 2590.1mm x 183.9mm
RECT_591_2590.1x183.9_32holes.dxf,Rectangulo con agujeros,"Ancho=2590.12, Largo=183.86, Agujeros=32, Diametros=[6.95, 13.19, 6.53, 12.33, 14.84, 4.52, 14.25, 10.99, 7.09, 6.43, 7.32, 4.27, 10.29, 5.50, 13.90, 6.92, 13.40, 7.36, 6.59, 7.70, 10.19, 13.32, 8.28, 14.70, 12.62, 9.65, 11.22, 13.08, 7.72, 13.12, 6.83, 14.43]",Rectángulo 2590.1x183.9mm con 32 agujeros (distribución cuadricula)
RECT_592_2728.6x782.4.dxf,Rectangulo,"Ancho=2728.61, Largo=782.35",Rectángulo de 2728.6mm x 782.4mm
RECT_592_2728.6x782.4_1holes.dxf,Rectangulo con agujeros,"Ancho=2728.61, Largo=782.35, Agujeros=1, Diametros=[14.00]",Rectángulo 2728.6x782.4mm con 1 agujeros (distribución aleatoria)
WASH_593_D597.8-435.9.dxf,Arandela,"D_exterior=597.75, D_interior=435.93",Arandela Ø597.8mm / Ø435.9mm
WASH_593_D597.8-435.9_47holes.dxf,Arandela con agujeros,"D_exterior=597.75, D_interior=435.93, Agujeros=47, D_agujero=14.64",Arandela Ø597.8/Ø435.9mm con 47 agujeros de Ø14.6mm (circular)
RECT_594_720.2x760.2.dxf,Rectangulo,"Ancho=720.24, Largo=760.22",Rectángulo de 720.2mm x 760.2mm
RECT_594_720.2x760.2_16holes.dxf,Rectangulo con agujeros,"Ancho=720.24, Largo=760.22, Agujeros=16, Diametros=[10.84, 6.99, 10.00, 12.46, 4.17, 7.36, 6.32, 14.18, 14.93, 9.20, 9.64, 5.72, 9.38, 5.50, 12.29, 7.40]",Rectángulo 720.2x760.2mm con 16 agujeros (distribución cuadricula)
WASH_595_D281.6-118.4.dxf,Arandela,"D_exterior=281.57, D_interior=118.42",Arandela Ø281.6mm / Ø118.4mm
WASH_595_D281.6-118.4_41holes.dxf,Arandela con agujeros,"D_exterior=281.57, D_interior=118.42, Agujeros=41, D_agujero=12.61",Arandela Ø281.6/Ø118.4mm con 41 agujeros de Ø12.6mm (circular)
RECT_596_645.4x386.8.dxf,Rectangulo,"Ancho=645.36, Largo=386.77",Rectángulo de 645.4mm x 386.8mm
RECT_596_645.4x386.8_32holes.dxf,Rectangulo con agujeros,"Ancho=645.36, Largo=386.77, Agujeros=32, Diametros=[9.33, 14.40, 4.77, 8.19, 4.65, 9.68, 13.90, 9.09, 11.28, 8.47, 12.79, 6.40, 9.64, 10.14, 5.83, 4.18, 9.94, 12.81, 12.92, 11.55, 11.16, 11.15, 7.55, 13.00, 8.27, 8.29, 6.47, 7.32, 10.95, 13.62, 11.31, 6.84]",Rectángulo 645.4x386.8mm con 32 agujeros (distribución cuadricula)
RECT_597_542.8x307.2.dxf,Rectangulo,"Ancho=542.81, Largo=307.19",Rectángulo de 542.8mm x 307.2mm
RECT_597_542.8x307.2_4holes.dxf,Rectangulo con agujeros,"Ancho=542.81, Largo=307.19, Agujeros=4, Diametros=[4.57, 10.20, 8.72, 8.14]",Rectángulo 542.8x307.2mm con 4 agujeros (distribución cuadricula)
WASH_598_D279.9-126.5.dxf,Arandela,"D_exterior=279.88, D_interior=126.49",Arandela Ø279.9mm / Ø126.5mm
WASH_598_D279.9-126.5_12holes.dxf,Arandela con agujeros,"D_exterior=279.88, D_interior=126.49, Agujeros=12, D_agujero=12.17",Arandela Ø279.9/Ø126.5mm con 12 agujeros de Ø12.2mm (circular)
WASH_599_D467.4-341.7.dxf,Arandela,"D_exterior=467.45, D_interior=341.66",Arandela Ø467.4mm / Ø341.7mm
WASH_599_D467.4-341.7_21holes.dxf,Arandela con agujeros,"D_exterior=467.45, D_interior=341.66, Agujeros=21, D_agujero=4.33",Arandela Ø467.4/Ø341.7mm con 21 agujeros de Ø4.3mm (circular)
WASH_600_D1351.7-625.5.dxf,Arandela,"D_exterior=1351.69, D_interior=625.52",Arandela Ø1351.7mm / Ø625.5mm
WASH_600_D1351.7-625.5_16holes.dxf,Arandela con agujeros,"D_exterior=1351.69, D_interior=625.52, Agujeros=16, D_agujero=12.56",Arandela Ø1351.7/Ø625.5mm con 16 agujeros de Ø12.6mm (circular)
WASH_601_D526.6-370.3.dxf,Arandela,"D_exterior=526.60, D_interior=370.32",Arandela Ø526.6mm / Ø370.3mm
WASH_601_D526.6-370.3_10holes.dxf,Arandela con agujeros,"D_exterior=526.60, D_interior=370.32, Agujeros=10, D_agujero=8.85",Arandela Ø526.6/Ø370.3mm con 10 agujeros de Ø8.8mm (circular)
RECT_602_2216.0x1031.3.dxf,Rectangulo,"Ancho=2215.98, Largo=1031.32",Rectángulo de 2216.0mm x 1031.3mm
RECT_602_2216.0x1031.3_4holes.dxf,Rectangulo con agujeros,"Ancho=2215.98, Largo=1031.32, Agujeros=4, Diametros=[7.41, 13.60, 13.00, 13.55]",Rectángulo 2216.0x1031.3mm con 4 agujeros (distribución cuadricula)
RECT_603_2880.1x328.2.dxf,Rectangulo,"Ancho=2880.09, Largo=328.17",Rectángulo de 2880.1mm x 328.2mm
RECT_603_2880.1x328.2_2holes.dxf,Rectangulo con agujeros,"Ancho=2880.09, Largo=328.17, Agujeros=2, Diametros=[7.83, 5.52]",Rectángulo 2880.1x328.2mm con 2 agujeros (distribución cuadricula)
WASH_604_D754.6-573.0.dxf,Arandela,"D_exterior=754.57, D_interior=572.97",Arandela Ø754.6mm / Ø573.0mm
WASH_604_D754.6-573.0_41holes.dxf,Arandela con agujeros,"D_exterior=754.57, D_interior=572.97, Agujeros=41, D_agujero=11.03",Arandela Ø754.6/Ø573.0mm con 41 agujeros de Ø11.0mm (circular)
WASH_605_D1354.9-768.0.dxf,Arandela,"D_exterior=1354.94, D_interior=768.04",Arandela Ø1354.9mm / Ø768.0mm
WASH_605_D1354.9-768.0_21holes.dxf,Arandela con agujeros,"D_exterior=1354.94, D_interior=768.04, Agujeros=21, D_agujero=13.37",Arandela Ø1354.9/Ø768.0mm con 21 agujeros de Ø13.4mm (circular)
WASH_606_D1318.8-994.7.dxf,Arandela,"D_exterior=1318.80, D_interior=994.73",Arandela Ø1318.8mm / Ø994.7mm
WASH_606_D1318.8-994.7_42holes.dxf,Arandela con agujeros,"D_exterior=1318.80, D_interior=994.73, Agujeros=42, D_agujero=13.88",Arandela Ø1318.8/Ø994.7mm con 42 agujeros de Ø13.9mm (circular)
RECT_607_2152.5x484.7.dxf,Rectangulo,"Ancho=2152.48, Largo=484.73",Rectángulo de 2152.5mm x 484.7mm
RECT_607_2152.5x484.7_1holes.dxf,Rectangulo con agujeros,"Ancho=2152.48, Largo=484.73, Agujeros=1, Diametros=[10.21]",Rectángulo 2152.5x484.7mm con 1 agujeros (distribución cuadricula)
WASH_608_D499.4-187.2.dxf,Arandela,"D_exterior=499.37, D_interior=187.15",Arandela Ø499.4mm / Ø187.2mm
WASH_608_D499.4-187.2_39holes.dxf,Arandela con agujeros,"D_exterior=499.37, D_interior=187.15, Agujeros=39, D_agujero=6.12",Arandela Ø499.4/Ø187.2mm con 39 agujeros de Ø6.1mm (circular)
WASH_609_D1254.9-833.3.dxf,Arandela,"D_exterior=1254.90, D_interior=833.32",Arandela Ø1254.9mm / Ø833.3mm
WASH_609_D1254.9-833.3_28holes.dxf,Arandela con agujeros,"D_exterior=1254.90, D_interior=833.32, Agujeros=28, D_agujero=4.11",Arandela Ø1254.9/Ø833.3mm con 28 agujeros de Ø4.1mm (circular)
RECT_610_1544.4x829.0.dxf,Rectangulo,"Ancho=1544.42, Largo=828.98",Rectángulo de 1544.4mm x 829.0mm
RECT_610_1544.4x829.0_8holes.dxf,Rectangulo con agujeros,"Ancho=1544.42, Largo=828.98, Agujeros=8, Diametros=[5.40, 10.16, 7.01, 7.55, 9.08, 9.63, 14.60, 7.07]",Rectángulo 1544.4x829.0mm con 8 agujeros (distribución aleatoria)
RECT_611_284.8x903.5.dxf,Rectangulo,"Ancho=284.83, Largo=903.48",Rectángulo de 284.8mm x 903.5mm
RECT_611_284.8x903.5_2holes.dxf,Rectangulo con agujeros,"Ancho=284.83, Largo=903.48, Agujeros=2, Diametros=[8.00, 14.32]",Rectángulo 284.8x903.5mm con 2 agujeros (distribución cuadricula)
WASH_612_D800.4-455.1.dxf,Arandela,"D_exterior=800.43, D_interior=455.13",Arandela Ø800.4mm / Ø455.1mm
WASH_612_D800.4-455.1_29holes.dxf,Arandela con agujeros,"D_exterior=800.43, D_interior=455.13, Agujeros=29, D_agujero=5.60",Arandela Ø800.4/Ø455.1mm con 29 agujeros de Ø5.6mm (circular)
RECT_613_308.3x141.1.dxf,Rectangulo,"Ancho=308.27, Largo=141.06",Rectángulo de 308.3mm x 141.1mm
RECT_613_308.3x141.1_2holes.dxf,Rectangulo con agujeros,"Ancho=308.27, Largo=141.06, Agujeros=2, Diametros=[4.72, 5.53]",Rectángulo 308.3x141.1mm con 2 agujeros (distribución cuadricula)
RECT_614_1892.8x1402.5.dxf,Rectangulo,"Ancho=1892.75, Largo=1402.55",Rectángulo de 1892.8mm x 1402.5mm
RECT_614_1892.8x1402.5_32holes.dxf,Rectangulo con agujeros,"Ancho=1892.75, Largo=1402.55, Agujeros=32, Diametros=[12.29, 5.68, 14.64, 8.62, 6.27, 5.05, 8.59, 9.36, 8.97, 8.26, 10.47, 4.75, 9.66, 8.86, 9.90, 7.08, 13.79, 7.69, 11.33, 13.76, 13.94, 9.48, 13.63, 10.94, 12.24, 5.58, 5.24, 7.87, 14.46, 8.23, 8.11, 11.86]",Rectángulo 1892.8x1402.5mm con 32 agujeros (distribución cuadricula)
RECT_615_452.6x1237.5.dxf,Rectangulo,"Ancho=452.60, Largo=1237.52",Rectángulo de 452.6mm x 1237.5mm
RECT_615_452.6x1237.5_4holes.dxf,Rectangulo con agujeros,"Ancho=452.60, Largo=1237.52, Agujeros=4, Diametros=[12.15, 7.04, 14.27, 4.60]",Rectángulo 452.6x1237.5mm con 4 agujeros (distribución circular)
WASH_616_D700.7-378.8.dxf,Arandela,"D_exterior=700.73, D_interior=378.83",Arandela Ø700.7mm / Ø378.8mm
WASH_616_D700.7-378.8_49holes.dxf,Arandela con agujeros,"D_exterior=700.73, D_interior=378.83, Agujeros=49, D_agujero=4.44",Arandela Ø700.7/Ø378.8mm con 49 agujeros de Ø4.4mm (circular)
RECT_617_617.6x1365.7.dxf,Rectangulo,"Ancho=617.56, Largo=1365.66",Rectángulo de 617.6mm x 1365.7mm
RECT_617_617.6x1365.7_1holes.dxf,Rectangulo con agujeros,"Ancho=617.56, Largo=1365.66, Agujeros=1, Diametros=[5.48]",Rectángulo 617.6x1365.7mm con 1 agujeros (distribución cuadricula)
WASH_618_D1145.2-866.4.dxf,Arandela,"D_exterior=1145.23, D_interior=866.42",Arandela Ø1145.2mm / Ø866.4mm
WASH_618_D1145.2-866.4_42holes.dxf,Arandela con agujeros,"D_exterior=1145.23, D_interior=866.42, Agujeros=42, D_agujero=9.80",Arandela Ø1145.2/Ø866.4mm con 42 agujeros de Ø9.8mm (circular)
RECT_619_506.2x137.3.dxf,Rectangulo,"Ancho=506.22, Largo=137.33",Rectángulo de 506.2mm x 137.3mm
RECT_619_506.2x137.3_2holes.dxf,Rectangulo con agujeros,"Ancho=506.22, Largo=137.33, Agujeros=2, Diametros=[10.17, 6.21]",Rectángulo 506.2x137.3mm con 2 agujeros (distribución circular)
RECT_620_405.5x285.3.dxf,Rectangulo,"Ancho=405.53, Largo=285.32",Rectángulo de 405.5mm x 285.3mm
RECT_620_405.5x285.3_1holes.dxf,Rectangulo con agujeros,"Ancho=405.53, Largo=285.32, Agujeros=1, Diametros=[11.55]",Rectángulo 405.5x285.3mm con 1 agujeros (distribución aleatoria)
RECT_621_501.5x664.2.dxf,Rectangulo,"Ancho=501.55, Largo=664.21",Rectángulo de 501.5mm x 664.2mm
RECT_621_501.5x664.2_8holes.dxf,Rectangulo con agujeros,"Ancho=501.55, Largo=664.21, Agujeros=8, Diametros=[13.01, 8.74, 11.56, 9.31, 9.53, 11.58, 4.95, 5.18]",Rectángulo 501.5x664.2mm con 8 agujeros (distribución cuadricula)
RECT_622_1979.8x560.4.dxf,Rectangulo,"Ancho=1979.82, Largo=560.44",Rectángulo de 1979.8mm x 560.4mm
RECT_622_1979.8x560.4_32holes.dxf,Rectangulo con agujeros,"Ancho=1979.82, Largo=560.44, Agujeros=32, Diametros=[12.85, 4.65, 4.47, 10.65, 6.43, 4.32, 6.80, 14.35, 10.77, 13.02, 4.25, 8.49, 9.48, 4.82, 4.98, 7.52, 4.68, 10.21, 6.73, 7.69, 5.60, 13.07, 12.91, 11.84, 5.11, 12.32, 6.37, 14.25, 9.29, 7.44, 5.06, 7.49]",Rectángulo 1979.8x560.4mm con 32 agujeros (distribución circular)
WASH_623_D1058.7-672.3.dxf,Arandela,"D_exterior=1058.67, D_interior=672.30",Arandela Ø1058.7mm / Ø672.3mm
WASH_623_D1058.7-672.3_26holes.dxf,Arandela con agujeros,"D_exterior=1058.67, D_interior=672.30, Agujeros=26, D_agujero=10.08",Arandela Ø1058.7/Ø672.3mm con 26 agujeros de Ø10.1mm (circular)
RECT_624_1021.9x449.3.dxf,Rectangulo,"Ancho=1021.94, Largo=449.33",Rectángulo de 1021.9mm x 449.3mm
RECT_624_1021.9x449.3_2holes.dxf,Rectangulo con agujeros,"Ancho=1021.94, Largo=449.33, Agujeros=2, Diametros=[14.17, 13.57]",Rectángulo 1021.9x449.3mm con 2 agujeros (distribución aleatoria)
RECT_625_2260.3x1345.9.dxf,Rectangulo,"Ancho=2260.32, Largo=1345.94",Rectángulo de 2260.3mm x 1345.9mm
RECT_625_2260.3x1345.9_4holes.dxf,Rectangulo con agujeros,"Ancho=2260.32, Largo=1345.94, Agujeros=4, Diametros=[9.52, 9.58, 5.75, 6.09]",Rectángulo 2260.3x1345.9mm con 4 agujeros (distribución cuadricula)
RECT_626_1312.4x411.6.dxf,Rectangulo,"Ancho=1312.38, Largo=411.58",Rectángulo de 1312.4mm x 411.6mm
RECT_626_1312.4x411.6_4holes.dxf,Rectangulo con agujeros,"Ancho=1312.38, Largo=411.58, Agujeros=4, Diametros=[12.85, 14.69, 4.13, 12.77]",Rectángulo 1312.4x411.6mm con 4 agujeros (distribución cuadricula)
WASH_627_D897.2-554.9.dxf,Arandela,"D_exterior=897.21, D_interior=554.87",Arandela Ø897.2mm / Ø554.9mm
WASH_627_D897.2-554.9_29holes.dxf,Arandela con agujeros,"D_exterior=897.21, D_interior=554.87, Agujeros=29, D_agujero=9.60",Arandela Ø897.2/Ø554.9mm con 29 agujeros de Ø9.6mm (circular)
WASH_628_D473.2-260.3.dxf,Arandela,"D_exterior=473.21, D_interior=260.30",Arandela Ø473.2mm / Ø260.3mm
WASH_628_D473.2-260.3_28holes.dxf,Arandela con agujeros,"D_exterior=473.21, D_interior=260.30, Agujeros=28, D_agujero=9.43",Arandela Ø473.2/Ø260.3mm con 28 agujeros de Ø9.4mm (circular)
WASH_629_D358.6-250.2.dxf,Arandela,"D_exterior=358.64, D_interior=250.25",Arandela Ø358.6mm / Ø250.2mm
WASH_629_D358.6-250.2_37holes.dxf,Arandela con agujeros,"D_exterior=358.64, D_interior=250.25, Agujeros=37, D_agujero=13.23",Arandela Ø358.6/Ø250.2mm con 37 agujeros de Ø13.2mm (circular)
RECT_630_899.2x584.3.dxf,Rectangulo,"Ancho=899.19, Largo=584.30",Rectángulo de 899.2mm x 584.3mm
RECT_630_899.2x584.3_2holes.dxf,Rectangulo con agujeros,"Ancho=899.19, Largo=584.30, Agujeros=2, Diametros=[8.69, 9.17]",Rectángulo 899.2x584.3mm con 2 agujeros (distribución aleatoria)
WASH_631_D832.3-427.1.dxf,Arandela,"D_exterior=832.26, D_interior=427.06",Arandela Ø832.3mm / Ø427.1mm
WASH_631_D832.3-427.1_39holes.dxf,Arandela con agujeros,"D_exterior=832.26, D_interior=427.06, Agujeros=39, D_agujero=10.52",Arandela Ø832.3/Ø427.1mm con 39 agujeros de Ø10.5mm (circular)
RECT_632_2621.4x759.5.dxf,Rectangulo,"Ancho=2621.40, Largo=759.50",Rectángulo de 2621.4mm x 759.5mm
